"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop
Afghanistan,423,0,14,0,18,391,0,11,0.4,0,0
Albania,383,0,22,0,131,230,7,133,8,2753,957
Algeria,1468,0,193,0,113,1162,46,33,4,3359,77
Andorra,545,0,22,0,39,484,17,7054,285,1673,21653
Angola,17,0,2,0,2,13,0,0.5,0.06,0,0
Anguilla,3,0,0,0,0,3,0,200,0,0,0
Antigua and Barbuda,19,0,2,1,0,17,1,194,20,40,408
Argentina,1715,0,60,0,338,1317,96,38,1,11778,261
Armenia,881,28,9,1,114,758,30,297,3,5452,1840
Aruba,74,0,0,0,14,60,0,693,0,954,8935
Australia,6010,22,50,1,2547,3413,89,236,2,318064,12473
Austria,12738,99,273,30,4512,7953,267,1414,30,120755,13408
Azerbaijan,717,0,8,0,44,665,23,71,0.8,53300,5257
Bahamas,36,3,6,0,5,25,1,92,15,0,0
Bahrain,811,0,5,0,465,341,3,477,3,50320,29573
Bangladesh,164,0,17,0,33,114,1,1,0.1,4289,26
Barbados,63,0,3,0,6,54,4,219,10,557,1938
Belarus,1066,205,13,0,77,976,33,113,1,46000,4868
Belgium,23403,1209,2240,205,4681,16482,1276,2019,193,80512,6947
Belize,7,0,1,0,0,6,1,18,3,268,674
Benin,26,0,1,0,5,20,0,2,0.08,0,0
Bermuda,39,0,2,0,17,20,0,626,32,306,4913
Bhutan,5,0,0,0,2,3,0,6,0,1166,1511
Bolivia,210,16,15,1,2,193,3,18,1,591,51
Bosnia and Herzegovina,777,13,33,0,77,667,4,237,10,6911,2106
Botswana,6,0,1,0,0,5,0,3,0.4,1154,491
Brazil,14049,15,688,2,127,13234,296,66,3,54824,258
British Virgin Islands,3,0,0,0,0,3,0,99,0,0,0
Brunei,135,0,1,0,91,43,3,309,2,8845,20218
Bulgaria,581,4,23,0,42,516,21,84,3,15899,2288
Burkina Faso,384,0,19,0,127,238,0,18,0.9,0,0
Burundi,3,0,0,0,0,3,0,0.3,0,0,0
Cabo Verde,7,0,1,0,1,5,0,13,2,0,0
Cambodia,117,2,0,0,63,54,1,7,0,5768,345
Cameroon,685,0,9,0,60,616,0,26,0.3,0,0
Canada,17897,0,381,0,4028,13488,426,474,10,348105,9223
CAR,8,0,0,0,0,8,0,2,0,0,0
Caribbean Netherlands,2,0,0,0,0,2,0,76,0,10,381
Cayman Islands,45,0,1,0,6,38,0,685,15,479,7288
Chad,10,0,0,0,2,8,0,0.6,0,0,0
Channel Islands,335,0,7,0,34,294,0,1927,40,1157,6655
Chile,5116,0,43,0,898,4175,337,268,2,57122,2988
China,81802,62,3333,2,77279,1190,189,57,2,0,0
Colombia,1780,0,50,0,100,1630,76,35,1,30445,598
Congo,45,0,5,0,2,38,0,8,0.9,0,0
Costa Rica,483,0,2,0,24,457,14,95,0.4,5525,1085
Croatia,1282,0,18,0,167,1097,35,312,4,12322,3002
Cuba,396,0,11,0,27,358,15,35,1,7054,623
Curaçao,13,0,1,0,7,5,0,79,6,0,0
Cyprus,494,0,9,0,47,438,13,409,7,13017,10781
Czechia,5033,16,91,3,181,4761,103,470,8,98681,9215
Denmark,5386,315,203,0,1491,3692,127,930,35,58419,10086
Diamond Princess,712,0,11,0,619,82,10,0,0,0,0
Djibouti,90,0,0,0,9,81,0,91,0,2229,2256
Dominica,15,0,0,0,1,14,0,208,0,293,4070
Dominican Republic,1956,0,98,0,36,1822,147,180,9,4542,419
DRC,180,0,18,0,9,153,0,2,0.2,0,0
Ecuador,3995,0,220,0,140,3635,156,226,12,14406,817
Egypt,1450,0,94,0,276,1080,0,14,0.9,25000,244
El Salvador,93,15,5,1,9,79,2,14,0.8,0,0
Equatorial Guinea,16,0,0,0,3,13,0,11,0,854,609
Eritrea,31,0,0,0,0,31,0,9,0,0,0
Estonia,1185,36,24,3,72,1089,11,893,18,24813,18705
Eswatini,10,0,0,0,4,6,0,9,0,0,0
Ethiopia,52,0,2,0,4,46,1,0.5,0.02,2271,20
Faeroe Islands,184,0,0,0,131,53,1,3766,0,5153,105458
Falkland Islands,2,0,0,0,0,2,0,575,0,0,0
Fiji,15,0,0,0,0,15,0,17,0,0,0
Finland,2487,179,34,0,300,2153,81,449,6,34900,6299
France,109069,0,10328,0,19337,79404,7131,1671,158,224254,3436
French Guiana,77,0,0,0,34,43,1,258,0,0,0
French Polynesia,47,0,0,0,0,47,0,167,0,694,2471
Gabon,30,0,1,0,1,28,0,13,0.4,0,0
Gambia,4,0,1,0,2,1,0,2,0.4,0,0
Georgia,208,12,3,0,48,157,6,52,0.8,2762,692
Germany,107663,0,2016,0,36081,69566,4895,1285,24,918460,10962
Ghana,287,0,5,0,31,251,2,9,0.2,0,0
Gibraltar,113,0,0,0,60,53,0,3354,0,1440,42741
Greece,1832,0,81,0,269,1482,90,176,8,28584,2742
Greenland,11,0,0,0,10,1,0,194,0,752,13246
Grenada,12,0,0,0,0,12,2,107,0,45,400
Guadeloupe,139,0,7,0,31,101,14,347,17,0,0
Guatemala,80,3,3,0,17,60,3,4,0.2,1134,63
Guinea,144,0,0,0,5,139,0,11,0,0,0
Guinea-Bissau,33,0,0,0,0,33,0,17,0,0,0
Guyana,33,0,5,0,8,20,4,42,6,132,168
Haiti,25,0,1,0,0,24,0,2,0.09,257,23
Honduras,312,7,22,0,6,284,10,32,2,0,0
Hong Kong,961,25,4,0,264,693,14,128,0.5,96709,12900
Hungary,895,78,58,11,94,743,17,93,6,25748,2665
Iceland,1586,0,6,0,559,1021,11,4648,18,28991,84957
India,5360,9,164,4,468,4728,0,4,0.1,140293,102
Indonesia,2956,218,240,19,222,2494,0,11,0.9,14354,52
Iran,67286,4697,4003,131,27039,36244,3987,801,48,211136,2514
Iraq,1122,0,65,0,373,684,0,28,2,26331,655
Ireland,5709,0,210,0,25,5474,165,1156,43,42484,8604
Isle of Man,158,8,1,0,80,77,7,1858,12,1759,20686
Israel,9404,156,71,6,801,8532,147,1086,8,117339,13557
Italy,135586,0,17127,0,24392,94067,3792,2243,283,755445,12495
Ivory Coast,349,0,3,0,41,305,0,13,0.1,0,0
Jamaica,63,0,3,0,9,51,0,21,1,540,182
Japan,4257,0,93,0,622,3542,80,34,0.7,55311,437
Jordan,353,0,6,0,138,209,5,35,0.6,17000,1666
Kazakhstan,709,12,7,1,53,649,21,38,0.4,56775,3024
Kenya,172,0,6,0,7,159,2,3,0.1,4973,92
Kuwait,855,112,1,0,111,743,21,200,0.2,0,0
Kyrgyzstan,270,42,4,0,33,233,5,41,0.6,9618,1474
Laos,15,1,0,0,0,15,0,2,0,781,107
Latvia,577,29,2,0,16,559,5,306,1,24036,12743
Lebanon,575,27,19,0,62,494,29,84,3,10808,1583
Liberia,14,0,3,0,3,8,0,3,0.6,0,0
Libya,20,0,1,0,1,18,0,3,0.1,326,47
Liechtenstein,78,0,1,0,55,22,0,2046,26,900,23605
Lithuania,912,32,15,0,8,889,11,335,6,30108,11060
Luxembourg,2970,0,44,0,500,2426,35,4745,70,25702,41059
Macao,45,1,0,0,10,35,1,69,0,0,0
Madagascar,88,0,0,0,7,81,6,3,0,0,0
Malawi,8,0,1,0,0,7,1,0.4,0.05,0,0
Malaysia,4119,156,65,2,1487,2567,76,127,2,55566,1717
Maldives,19,0,0,0,13,6,0,35,0,0,0
Mali,56,0,5,0,12,39,0,3,0.2,0,0
Malta,293,0,0,0,5,288,4,664,0,10923,24738
Martinique,152,0,4,0,50,98,20,405,11,0,0
Mauritania,6,0,1,0,2,3,0,1,0.2,67,14
Mauritius,268,0,7,0,8,253,3,211,6,4913,3863
Mayotte,171,0,2,0,22,147,3,627,7,1100,4032
Mexico,2785,346,141,16,633,2011,89,22,1,25410,197
Moldova,1056,0,24,2,40,992,80,262,6,5108,1266
Monaco,79,0,1,0,4,74,4,2013,25,0,0
Mongolia,16,1,0,0,4,12,0,5,0,0,0
Montenegro,248,7,2,0,4,242,7,395,3,2014,3207
Montserrat,9,0,0,0,0,9,1,1803,0,36,7212
Morocco,1242,58,91,1,97,1054,1,34,2,5600,152
Mozambique,10,0,0,0,1,9,0,0.3,0,424,14
MS Zaandam,9,0,2,0,0,7,0,0,0,0,0
Myanmar,22,0,3,2,0,19,0,0.4,0.06,1246,23
Namibia,16,0,0,0,3,13,0,6,0,362,142
Nepal,9,0,0,0,1,8,0,0.3,0,2122,73
Netherlands,19580,0,2101,0,250,17229,1424,1143,123,86589,5053
New Caledonia,18,0,0,0,1,17,0,63,0,2320,8126
New Zealand,1210,50,1,0,282,927,4,251,0.2,46875,9721
Nicaragua,6,0,1,0,0,5,0,0.9,0.2,0,0
Niger,278,0,11,0,26,241,0,11,0.5,4199,173
Nigeria,254,0,6,0,44,204,2,1,0.03,5000,24
North Macedonia,599,0,26,0,30,543,15,288,12,5879,2822
Norway,6086,0,89,0,32,5965,78,1123,16,113896,21009
Oman,419,48,2,0,72,345,3,82,0.4,0,0
Pakistan,4072,37,58,1,467,3547,25,18,0.3,42159,191
Palestine,263,2,1,0,44,218,0,52,0.2,15450,3029
Panama,2249,149,59,4,16,2174,91,521,14,10297,2386
Papua New Guinea,2,0,0,0,0,2,0,0.2,0,72,8
Paraguay,119,4,5,0,15,99,1,17,0.7,2039,286
Peru,2954,0,107,0,1301,1546,109,90,3,21555,654
Philippines,3870,106,182,5,96,3592,1,35,2,24500,224
Poland,5000,152,136,7,191,4673,50,132,4,92215,2437
Portugal,12442,0,345,0,184,11913,271,1220,34,121256,11892
Qatar,2057,0,6,0,150,1901,37,714,2,41818,14515
Romania,4761,344,209,12,528,4024,274,247,11,47207,2454
Russia,8672,1175,63,5,580,8029,8,59,0.4,910221,6237
Rwanda,105,0,0,0,7,98,0,8,0,806,62
Réunion,358,0,0,0,40,318,4,400,0,0,0
S. Korea,10384,53,200,8,6776,3408,55,203,4,477304,9310
Saint Kitts and Nevis,11,0,0,0,0,11,0,207,0,183,3440
Saint Lucia,14,0,0,0,1,13,0,76,0,0,0
Saint Martin,32,0,2,0,7,23,6,828,52,0,0
Saint Pierre Miquelon,1,0,0,0,0,1,0,173,0,0,0
San Marino,279,0,34,0,40,205,14,8223,1002,586,17270
Sao Tome and Principe,4,0,0,0,0,4,0,18,0,19,87
Saudi Arabia,2795,0,41,0,615,2139,41,80,1,0,0
Senegal,237,0,2,0,105,130,1,14,0.1,0,0
Serbia,2447,0,61,0,118,2268,109,280,7,9626,1102
Seychelles,11,0,0,0,0,11,0,112,0,0,0
Sierra Leone,6,0,0,0,0,6,0,0.8,0,0,0
Singapore,1481,0,6,0,377,1098,29,253,1,65000,11110
Sint Maarten,40,0,6,0,1,33,2,933,140,112,2612
Slovakia,581,0,2,0,13,566,3,106,0.4,17639,3231
Slovenia,1091,32,40,4,120,931,35,525,19,30669,14752
Somalia,8,0,0,0,1,7,0,0.5,0,0,0
South Africa,1749,0,13,0,95,1641,7,29,0.2,58098,980
South Sudan,2,0,0,0,0,2,0,0.2,0,0,0
Spain,146690,4748,14555,510,48021,84114,7069,3137,311,355000,7593
Sri Lanka,186,1,6,0,42,138,5,9,0.3,3248,152
St. Barth,6,0,0,0,1,5,0,607,0,0,0
St. Vincent Grenadines,8,0,0,0,1,7,0,72,0,56,505
Sudan,14,0,2,0,2,10,0,0.3,0.05,0,0
Suriname,10,0,1,0,3,6,0,17,2,0,0
Sweden,7693,0,591,0,205,6897,640,762,59,54700,5416
Switzerland,22488,235,846,25,8704,12938,391,2598,98,167429,19346
Syria,19,0,2,0,3,14,0,1,0.1,0,0
Taiwan,379,3,5,0,67,307,0,16,0.2,40702,1709
Tanzania,24,0,1,0,5,18,0,0.4,0.02,0,0
Thailand,2369,111,30,3,888,1451,61,34,0.4,71860,1030
Timor-Leste,1,0,0,0,0,1,0,0.8,0,0,0
Togo,65,0,3,0,23,39,0,8,0.4,1617,195
Trinidad and Tobago,107,0,8,0,1,98,0,76,6,878,627
Tunisia,623,0,23,0,25,575,67,53,2,8274,700
Turkey,34109,0,725,0,1582,31802,1474,404,9,222868,2643
Turks and Caicos,8,0,1,0,0,7,0,207,26,61,1576
UAE,2359,0,12,0,186,2161,1,239,1,220000,22244
Uganda,52,0,0,0,0,52,0,1,0,3310,72
UK,55242,0,6159,0,135,48948,1559,814,91,266694,3929
Ukraine,1668,206,52,7,35,1581,33,38,1,7205,165
Uruguay,424,0,7,0,150,267,14,122,2,5727,1649
USA,400549,214,12857,16,21711,365981,9169,1210,39,2082443,6291
Uzbekistan,534,14,3,1,30,501,8,16,0.09,0,0
Vatican City,7,0,0,0,0,7,0,8739,0,0,0
Venezuela,166,0,7,0,65,94,6,6,0.2,1779,63
Vietnam,251,0,0,0,126,125,8,3,0,106399,1093
Western Sahara,4,0,0,0,0,4,0,7,0,0,0
Zambia,39,0,1,0,7,31,0,2,0.05,619,34
Zimbabwe,11,0,2,0,0,9,0,0.7,0.1,371,25
